recipe_slug	score_estimate
falafel	0.06671187698611622
spamburger	0.05171151831795595
bacon-fried-rice	0.09178646565261947
chicken-fingers	0.06821382643674105
apple-crisp	0.07535881138522288
cranberry-apple-crisp	0.5312396530164485
bacon-chocolate-chip-cookies	1.0037559234874567
sujebi	0.6168260812275052
pasta-primavera	0.2663576234080828
ramen	0.44027085262254617
brownies	0.9219926767713972
bacon-wrapped-scallops	0.12040898095333524
bacon-egg-muffins	0.38822620184466783
breakfast-burritos	0.2912978849530716
bolognese-sauce	0.11320545440652388
croissants	0.7718241373792705
bacon-souffle	0.6619888351428813
souffle	0.8223114048976489
chocolate-souffle	1.0274739686700498
butter-croissants	0.3733058920031165
pickled-green-beans	0.5316056436976813
fried-oysters	0.46659166195991575
peanut-butter-brownies	0.9455497644092339
almond-chip-cookies	0.8860552584493504
guacamole	0.2111640094963077
brioche-bread	0.36565739414103743
brioche-bread-with-chocolate	0.9470524383784968
asparagus-quiche	0.46176376410279363
asparagus-burger	0.7582513360120248
ma-la-chicken	0.8537752920077041
cold-noodles-with-tomatoes	0.13232021056651905
tamales	0.5621398565933811
enchiladas	0.16995317074092833
tacos	0.4773348950972371
burritos	0.6808381612432021
peanut-butter-cupcakes	0.9316376905930315
pickled-asparagus	0.3649939202849466
chocolate-peanut-butter-cake	1.011753483317596
udon	0.5513057485689319
vegetable-lasagna	0.4352313498876146
maple-bacon-donuts	0.6756417128684763
maple-bacon-pancakes	0.8927013895100868
spinach-and-ricotta-stuffed-shells	0.3524409713618618
quesadillas	0.39322279607716415
pico-de-gallo	0.4061564781773844
nachos	0.4010629859034081
cold-soba-noodles-with-tomato-and-cucumber	0.6161018792958053
fajitas	0.5849093028642175
loaded-nachos	0.14888135868623834
lasagna	0.42533857779005224
chicken-nuggets	0.08629183210384547
pain-au-chocolat	0.6841917279023194
nacho-dip	0.6417431330245109
nacho-salad	0.0532162963306031
nacho-casserole	0.6255779110832703
nacho-fries	0.3790335075100648
tempura-udon	0.8337878427259571
peach-crisp	0.5475514269979184
apple-pie	0.28472942984218674
blueberry-crisp	0.15201171597030422
berry-crumble	0.19957889328247888
strawberry-rhubarb-crisp	0.4404759082442976
peach-cobbler	0.6881873380977315
cranberry-sauce	0.6883513086469943
cherry-cobbler	0.313763609822966
apple-crumble	0.9061443496046211
chocolate-croissants	0.912869955979493
french-toast	0.346898056547995
chocolate-babka	1.0121950153612005
cinnamon-babka	0.6844094203739347
blueberry-crumble	0.3030496974515161
spam-musubi	0.6815683944507048
taco-salad	0.023063579937962014
chiles-rellenos	0.36170474013307724
almond-croissants	0.6173190288952541
cranberry-relish	0.4816846419803277
ma-la-beef	0.07876408926942949
chocolate-cake	0.9562239524775263
spinach-quiche	0.2761679069364692
mushroom-quiche	0.38422308820914053
quiche-lorraine	0.6783727754759619
croissant-aux-amandes	0.7178033877129861
danishes	0.7565338304246567
spinach-and-feta-quiche	0.5674163482962898
cold-sesame-noodles	0.5716691451886753
soba-noodle-salad-with-peanut-dressing	0.11074508251613713
dan-dan-noodles	0.822992138875906
vanilla-souffle	0.2526341407140373
bacon-wrapped-dates	0.15842000568296213
cherry-pie	0.06927129013385935
berry-crisp	0.03931006948396165
bacon-and-egg-breakfast-sandwich	0.5713030109455682
bacon-wrapped-shrimp-skewers	0.658317092009354
bacon-wrapped-chicken	0.43005913450950456
bacon-wrapped-asparagus	0.7383837348622845
bacon-mac-and-cheese	0.32582278002773946
chicken-alfredo-lasagna	0.7071038292432623
classic-beef-lasagna	0.4850754764854852
vegetarian-mushroom-lasagna	0.21429297895062988
spinach-and-ricotta-lasagna	0.1406760884194304
