recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.98
ramen	7.267425968572073	0.44
quesadillas	7.262219004144334	0.36
ma-la-chicken	7.198047598690177	0.93
chocolate-babka	7.017712995876201	1.0
pain-au-chocolat	7.058951392143198	0.67
bacon-fried-rice	7.031119364652593	0.0
spamburger	6.987558461946683	0.0
nacho-fries	6.735590484409313	0.37
cranberry-sauce	6.714883478312138	0.75
guacamole	6.6021579285234635	0.12
strawberry-rhubarb-crisp	6.566125453178623	0.42
apple-pie	6.44893930183279	0.23
asparagus-quiche	6.354625891595106	0.46
dan-dan-noodles	6.281404530904564	0.87
bacon-wrapped-asparagus	6.283491551973358	0.88
cold-noodles-with-tomatoes	6.255806105156461	0.07
brioche-bread	6.167606793971683	0.36
apple-crisp	6.1323865645202025	0.0
asparagus-burger	6.125033383914631	0.84
tamales	6.0681868309998475	0.55
mushroom-quiche	5.919951603966709	0.44
taco-salad	5.884141255516961	0.0
bacon-wrapped-chicken	5.884822923900485	0.47
chicken-nuggets	5.774310236775456	0.06
croissants	5.721200977290909	0.8
bacon-mac-and-cheese	5.598707401353586	0.26
fajitas	5.563443486830731	0.6
spam-musubi	5.535677621207573	0.75
bacon-wrapped-shrimp-skewers	5.546580147408392	0.7
croissant-aux-amandes	5.481007815948057	0.75
chocolate-peanut-butter-cake	5.42028836095535	1.0
sujebi	5.399455934845505	0.66
tacos	5.334494322382392	0.51
quiche-lorraine	5.326723856232687	0.68
breakfast-burritos	5.287698636478412	0.25
cherry-pie	5.178027482120714	0.01
spinach-and-ricotta-lasagna	5.162299778047032	0.1
cranberry-apple-crisp	5.156127496958617	0.55
nacho-salad	5.119281302317275	0.0
enchiladas	5.103914478923618	0.06
nachos	5.099117338497416	0.43
vanilla-souffle	5.0574680555791325	0.15
brownies	5.0058819386505595	1.0
soba-noodle-salad-with-peanut-dressing	4.9874131544704525	0.0
danishes	4.951478288360395	0.84
loaded-nachos	4.954233965857155	0.02
brioche-bread-with-chocolate	4.94308690971031	1.0
spinach-quiche	4.891152115735501	0.12
ma-la-beef	4.853256208236155	0.0
peanut-butter-cupcakes	4.822525673529425	1.0
souffle	4.796046259633634	0.96
cranberry-relish	4.74529671566754	0.44
bacon-egg-muffins	4.698795149618089	0.34
fried-oysters	4.681531921384421	0.5
pickled-green-beans	4.666276983116268	0.57
udon	4.661313039664311	0.54
almond-croissants	4.5634256975205805	0.6
maple-bacon-donuts	4.562665541465788	0.64
bacon-wrapped-scallops	4.55330860074765	0.07
pickled-asparagus	4.548797961525544	0.28
bolognese-sauce	4.539486282621521	0.0
chicken-fingers	4.489220581497792	0.0
cold-sesame-noodles	4.454323301981297	0.62
peach-crisp	4.450922870251812	0.7
tempura-udon	4.434164582329303	0.94
bacon-and-egg-breakfast-sandwich	4.432361994757007	0.59
chicken-alfredo-lasagna	4.418941132598897	0.81
chiles-rellenos	4.375916531109794	0.33
burritos	4.37346034659844	0.79
almond-chip-cookies	4.360021885086967	1.0
peach-cobbler	4.3503018465907255	0.69
french-toast	4.256896974943804	0.25
cold-soba-noodles-with-tomato-and-cucumber	4.213783500327615	0.75
falafel	4.2205971846770165	0.0
bacon-chocolate-chip-cookies	4.181533930596153	1.0
maple-bacon-pancakes	4.165662639364128	1.0
spinach-and-feta-quiche	4.078797393545351	0.67
pico-de-gallo	4.066031293013064	0.42
chocolate-cake	4.046227544065007	1.0
nacho-casserole	3.993408046550676	0.73
chocolate-croissants	3.938529625423747	1.0
blueberry-crumble	3.9358290226794965	0.37
peanut-butter-brownies	3.838561098944808	1.0
bacon-wrapped-dates	3.816359267243146	0.11
classic-beef-lasagna	3.7866311714691783	0.59
pasta-primavera	3.7641164107791445	0.25
nacho-dip	3.6532957244977387	0.81
berry-crisp	3.6344956816814125	0.04
lasagna	3.56182520236419	0.42
chocolate-souffle	3.523038982149282	1.0
cinnamon-babka	3.4953347891054665	0.66
cherry-cobbler	3.4736347962507854	0.27
vegetarian-mushroom-lasagna	3.212051524057189	0.08
blueberry-crisp	3.1440359563476585	0.02
bacon-souffle	2.917224720827015	0.79
butter-croissants	2.9107938725821336	0.28
spinach-and-ricotta-stuffed-shells	2.909893060708602	0.34
chocolate-babka	2.8586337198171603	1.0
apple-crumble	2.7891070277329337	0.98
